Date,Time,Latitude,Longitude,DVLx,DVLy,DVLlat,DVLlon,Altitude,Depth,Heading,Width,Area_m2,Distance
2024-10-08,11:32:30,47.61985069999997,-122.3631491,0.0,0.0,47.61985069999997,-122.3631491,0.67,-4.17,108.18,1.16,1.0213,0.0
2024-10-08,11:32:31,47.61984995953764,-122.36314694913256,10.9852,-5.4459,47.61985061462262,-122.3631487122799,0.74,-4.15,108.04,1.29,1.1945,12.261013247280992
2024-10-08,11:32:32,47.61985295828569,-122.36313070399991,10.9774,-5.4653,47.61985052914229,-122.36314832455184,0.76,-4.13,108.06,1.32,1.2653,0.020909328061896788
2024-10-08,11:32:33,47.61984610872081,-122.36313547383698,10.9597,-5.4804,47.61985044276584,-122.36314793757704,0.75,-4.12,108.27,1.3,1.2217,0.023265854809140285
2024-10-08,11:32:34,47.61984331162783,-122.36313503953455,10.9388,-5.5019,47.61985035549548,-122.36314755135834,0.77,-4.13,108.48,1.35,1.3086,0.029984329240454136
2024-10-08,11:32:35,47.61985071724138,-122.36311724482744,10.9237,-5.5167,47.61985026831931,-122.36314716533236,0.76,-4.15,108.47,1.33,1.2803,0.021143556938226227
2024-10-08,11:32:36,47.619851225714086,-122.3631096525713,10.911,-5.5206,47.619850174775365,-122.3631467829196,0.77,-4.17,109.89,1.34,1.2898,0.013285330255586935
2024-10-08,11:32:37,47.61985304767452,-122.36309724534914,10.8842,-5.5134,47.6198500506525,-122.36314642105631,0.7,-4.2,116.9,1.21,1.0646,0.027750315313523663
2024-10-08,11:32:38,47.619836703448144,-122.36312552068952,10.8267,-5.4909,47.619849905076464,-122.3631460795402,0.7,-4.22,122.23,1.23,1.0865,0.061745445176141604
2024-10-08,11:32:39,47.61982844540248,-122.36314152011518,10.743,-5.4977,47.61984975247414,-122.36314574767285,0.6,-4.23,124.22,1.04,0.7939,0.08397577031501442
2024-10-08,11:32:40,47.61983541142851,-122.36313143428576,10.6716,-5.5141,47.61984959844304,-122.36314541951717,0.65,-4.24,124.77,1.13,0.9312,0.0732592656255854
2024-10-08,11:32:41,47.61984357586217,-122.36311668046002,10.6245,-5.5098,47.619849445591576,-122.3631450919256,0.62,-4.24,124.61,1.09,0.8527,0.04729587719875837
2024-10-08,11:32:42,47.61984964244184,-122.36310216279094,10.6022,-5.4864,47.61984929382526,-122.3631447644638,0.66,-4.25,124.43,1.15,0.9535,0.03232413958638349
2024-10-08,11:32:43,47.6198480786126,-122.36309700288965,10.5799,-5.4435,47.61984914244547,-122.36314443820244,0.6,-4.25,124.46,1.04,0.7792,0.04834976732105271
2024-10-08,11:32:44,47.61985084709308,-122.36308681220912,10.5548,-5.389,47.61984899074714,-122.36314411417224,0.55,-4.24,124.7,0.97,0.6737,0.06000216662754775
2024-10-08,11:32:45,47.61984499595387,-122.3630928104047,10.5332,-5.3303,47.619848839140985,-122.36314379190372,0.67,-4.23,124.83,1.16,0.9751,0.06254798158214198
2024-10-08,11:32:46,47.61982702586213,-122.36312650574668,10.4874,-5.3064,47.61984868797114,-122.36314347127932,0.66,-4.21,124.89,1.16,0.9742,0.0516609136582016
2024-10-08,11:32:47,47.619823657558136,-122.36313577325546,10.4283,-5.3117,47.61984853403912,-122.36314315560313,0.67,-4.2,125.8,1.18,1.0091,0.059337172160458466
2024-10-08,11:32:48,47.61981648749989,-122.36315901590888,10.3482,-5.3197,47.61984836924858,-122.36314285504702,0.73,-4.2,129.04,1.27,1.1637,0.08049850930296767
2024-10-08,11:32:49,47.61982379310336,-122.36315693103428,10.2418,-5.3449,47.61984818163472,-122.36314258931536,0.65,-4.2,136.24,1.14,0.9333,0.10934349546269384
2024-10-08,11:32:50,47.61982911098257,-122.36315311502906,10.1506,-5.3737,47.619847979552986,-122.36314235148345,0.65,-4.21,141.49,1.14,0.9385,0.09563932245682112
2024-10-08,11:32:51,47.6198379103448,-122.36313356724168,10.0982,-5.377,47.619847773460734,-122.3631421237804,0.62,-4.22,143.24,1.08,0.8396,0.05250380938560594
2024-10-08,11:32:52,47.61982898837231,-122.36314401279115,10.0553,-5.3726,47.61984757181435,-122.3631418896744,0.6,-4.22,141.87,1.05,0.7941,0.043125050724607296
2024-10-08,11:32:53,47.6198191588572,-122.36316011828596,9.9954,-5.3621,47.61984736422658,-122.36314167050864,0.61,-4.21,144.48,1.07,0.8269,0.060813320909156865
